date,value
2023-03-23,87.51
2023-03-24,87.6
2023-03-27,87.52
2023-03-28,87.03
2023-03-29,88.46
2023-03-30,89.11
2023-03-31,90.65
2023-04-03,90.32
2023-04-04,89.54
2023-04-05,88.56
2023-04-06,88.98
2023-04-11,88.95
2023-04-12,87.98
2023-04-13,88.87
2023-04-14,89.26
2023-04-17,89.86
2023-04-18,89.86
2023-04-19,89.61
2023-04-20,88.34
2023-04-21,88.32
2023-04-24,87.98
2023-04-25,87.03
2023-04-26,86.25
2023-04-27,87.7
2023-04-28,87.88
2023-05-02,87.07
2023-05-03,86.17
2023-05-04,86.05
2023-05-05,88.0
2023-05-08,88.44
2023-05-09,88.1
2023-05-10,88.53
2023-05-11,88.54
2023-05-12,89.12
2023-05-15,89.37
2023-05-16,89.32
2023-05-17,90.4
2023-05-19,91.92
2023-05-22,92.12
2023-05-23,91.4
2023-05-24,90.51
2023-05-25,92.97
2023-05-26,94.77
2023-05-30,94.92
2023-05-31,94.05
2023-06-01,95.16
2023-06-02,96.15
2023-06-05,96.08
2023-06-06,96.4
2023-06-07,95.21
2023-06-09,96.57
2023-06-12,98.04
2023-06-13,98.71
2023-06-14,98.76
2023-06-15,98.81
2023-06-16,98.7
2023-06-19,98.46
2023-06-20,98.64
2023-06-21,97.02
2023-06-22,97.64
2023-06-23,97.18
2023-06-26,95.41
2023-06-27,96.23
2023-06-28,97.05
2023-06-29,97.16
2023-06-30,98.58
2023-07-03,99.24
2023-07-04,99.32
2023-07-05,99.27
2023-07-06,97.82
2023-07-07,97.37
2023-07-10,96.98
2023-07-11,97.41
2023-07-12,97.91
2023-07-13,98.93
2023-07-14,98.44
2023-07-17,99.27
2023-07-18,100.03
2023-07-19,100.23
2023-07-20,98.32
2023-07-21,98.1
2023-07-24,98.75
2023-07-25,99.45
2023-07-26,98.93
2023-07-27,99.43
2023-07-28,100.86
2023-07-31,101.48
2023-08-01,101.36
2023-08-02,99.23
2023-08-03,99.18
