date,value
2016-11-10,25.31
2016-11-11,25.22
2016-11-14,25.32
2016-11-15,25.5
2016-11-16,25.69
2016-11-17,25.84
2016-11-18,25.91
2016-11-21,26.08
2016-11-22,26.09
2016-11-23,26.3
2016-11-24,26.38
2016-11-25,26.38
2016-11-28,26.41
2016-11-29,26.39
2016-11-30,26.45
2016-12-01,26.0
2016-12-02,25.95
2016-12-05,25.96
2016-12-06,25.94
2016-12-07,26.08
2016-12-08,26.59
2016-12-09,26.77
2016-12-12,26.68
2016-12-13,26.78
2016-12-14,26.71
2016-12-15,27.19
2016-12-16,27.01
2016-12-19,27.05
2016-12-20,27.28
2016-12-21,27.14
2016-12-22,27.02
2016-12-23,27.06
2016-12-27,27.1
2016-12-28,27.22
2016-12-29,26.95
2016-12-30,26.95
2017-01-02,27.11
2017-01-03,27.12
2017-01-04,27.12
2017-01-05,26.96
2017-01-06,27.08
2017-01-09,27.07
2017-01-10,27.1
2017-01-11,27.26
2017-01-12,26.88
2017-01-13,27.18
2017-01-16,27.15
2017-01-17,26.94
2017-01-18,27.05
2017-01-19,27.13
2017-01-20,27.09
2017-01-23,26.86
2017-01-24,27.02
2017-01-25,27.29
2017-01-26,27.48
2017-01-27,27.45
2017-01-30,27.22
2017-01-31,26.97
2017-02-01,27.12
2017-02-02,27.16
2017-02-03,27.25
2017-02-06,27.27
2017-02-07,27.41
2017-02-08,27.45
2017-02-09,27.67
2017-02-10,27.79
2017-02-13,28.02
2017-02-14,28.0
2017-02-15,28.07
2017-02-16,27.98
2017-02-17,28.04
2017-02-20,28.17
2017-02-21,28.4
2017-02-22,28.43
2017-02-23,28.33
2017-02-24,28.28
2017-02-27,28.25
2017-02-28,28.23
2017-03-01,28.56
2017-03-02,28.6
2017-03-03,28.44
2017-03-06,28.29
2017-03-07,28.34
2017-03-08,28.4
2017-03-09,28.3
2017-03-10,28.16
2017-03-13,28.31
2017-03-14,28.24
2017-03-15,28.41
2017-03-16,28.4
2017-03-17,28.45
2017-03-20,28.41
2017-03-21,28.11
2017-03-22,28.09
2017-03-23,28.27
2017-03-24,28.2
2017-03-27,27.89
2017-03-28,28.06
2017-03-29,28.38
2017-03-30,28.59
2017-03-31,28.63
2017-04-03,28.54
2017-04-04,28.61
2017-04-05,28.81
2017-04-06,28.73
2017-04-07,28.85
2017-04-10,28.86
2017-04-11,28.76
2017-04-12,28.76
2017-04-13,28.75
2017-04-18,28.46
2017-04-19,28.51
2017-04-20,28.37
2017-04-21,28.64
2017-04-24,28.51
2017-04-25,28.47
2017-04-26,28.68
2017-04-27,28.6
2017-04-28,28.56
2017-05-02,28.65
2017-05-03,28.54
2017-05-04,28.5
2017-05-05,28.5
2017-05-08,28.69
2017-05-09,28.86
2017-05-10,29.01
2017-05-11,28.95
2017-05-12,28.91
2017-05-15,28.92
2017-05-16,28.8
2017-05-17,28.42
2017-05-18,28.4
2017-05-19,28.46
2017-05-22,28.49
2017-05-23,28.54
2017-05-24,28.7
2017-05-25,28.78
2017-05-26,28.9
2017-05-29,28.92
2017-05-30,28.92
2017-05-31,28.79
2017-06-01,29.0
2017-06-02,29.09
2017-06-06,29.08
2017-06-07,29.14
2017-06-08,29.32
2017-06-09,29.5
2017-06-12,28.98
2017-06-13,29.15
2017-06-14,29.04
2017-06-15,29.13
2017-06-16,29.12
2017-06-19,29.52
2017-06-20,29.5
2017-06-21,29.42
2017-06-22,29.39
2017-06-23,29.23
2017-06-26,29.18
2017-06-27,28.99
2017-06-28,28.85
2017-06-29,28.49
2017-06-30,28.53
2017-07-03,28.74
2017-07-04,28.66
2017-07-05,28.76
2017-07-06,28.58
2017-07-07,28.73
2017-07-10,28.85
2017-07-11,28.73
2017-07-12,29.09
2017-07-13,29.21
2017-07-14,29.08
2017-07-17,29.13
2017-07-18,28.82
2017-07-19,29.12
2017-07-20,28.83
2017-07-21,28.73
2017-07-24,28.77
2017-07-25,28.91
2017-07-26,28.98
2017-07-27,28.98
2017-07-28,28.51
2017-07-31,28.48
2017-08-01,28.54
2017-08-02,28.38
2017-08-03,28.38
2017-08-04,28.89
2017-08-07,28.79
2017-08-08,29.01
2017-08-09,28.84
2017-08-10,28.53
2017-08-11,28.15
2017-08-14,28.64
2017-08-15,28.79
2017-08-16,28.94
2017-08-17,28.66
2017-08-18,28.43
2017-08-21,28.13
2017-08-22,28.56
2017-08-24,28.36
2017-08-25,28.29
2017-08-28,28.08
2017-08-29,27.89
2017-08-30,28.3
2017-08-31,28.56
2017-09-01,28.74
2017-09-04,28.51
2017-09-05,28.42
2017-09-06,28.3
2017-09-07,28.17
2017-09-08,28.22
2017-09-11,28.53
2017-09-12,28.71
2017-09-13,28.88
2017-09-14,28.95
2017-09-15,28.81
2017-09-18,29.01
2017-09-19,28.97
2017-09-20,28.87
2017-09-21,28.98
2017-09-22,28.86
2017-09-25,28.9
2017-09-26,29.06
2017-09-27,29.32
2017-09-28,29.35
2017-09-29,29.45
2017-10-02,29.7
2017-10-04,29.79
2017-10-05,29.98
2017-10-06,29.95
2017-10-09,30.02
2017-10-10,29.85
2017-10-11,29.83
2017-10-12,29.92
2017-10-13,29.96
2017-10-16,30.08
2017-10-17,30.23
2017-10-18,30.27
2017-10-19,29.99
2017-10-20,30.41
2017-10-23,30.55
2017-10-24,30.53
2017-10-25,30.3
2017-10-26,30.72
2017-10-27,31.32
2017-10-30,31.23
2017-11-01,31.38
2017-11-02,31.24
2017-11-03,31.46
2017-11-06,31.6
2017-11-07,31.66
2017-11-08,31.5
2017-11-09,31.17
2017-11-10,31.15
