date,value
2012-08-27,2.3468
2012-08-28,2.3256
2012-08-29,2.3264
2012-08-30,2.314
2012-08-31,2.3172
2012-09-03,2.3232
2012-09-04,2.3012
2012-09-05,2.3008
2012-09-06,2.3384
2012-09-07,2.3364
2012-09-10,2.3376
2012-09-11,2.3328
2012-09-12,2.3316
2012-09-13,2.3312
2012-09-14,2.3528
2012-09-17,2.3436
2012-09-18,2.3432
2012-09-19,2.348
2012-09-20,2.3516
2012-09-21,2.3576
2012-09-24,2.3556
2012-09-25,2.3584
2012-09-26,2.3292
2012-09-27,2.3356
2012-09-28,2.326
2012-10-01,2.3436
2012-10-02,2.3228
2012-10-03,2.3372
2012-10-04,2.3336
2012-10-05,2.3424
2012-10-08,2.3288
2012-10-09,2.3264
2012-10-10,2.3136
2012-10-11,2.3192
2012-10-12,2.3008
2012-10-15,2.3136
2012-10-16,2.328
2012-10-17,2.3312
2012-10-18,2.3408
2012-10-19,2.3308
2012-10-22,2.3092
2012-10-23,2.2896
2012-10-24,2.298
2012-10-25,2.2984
2012-10-26,2.2984
2012-10-29,2.298
2012-10-30,2.3012
2012-10-31,2.2916
2012-11-01,2.324
2012-11-02,2.338
2012-11-05,2.3292
2012-11-06,2.3432
2012-11-07,2.31
2012-11-08,2.3092
2012-11-09,2.3076
2012-11-12,2.302
2012-11-13,2.3084
2012-11-14,2.282
2012-11-15,2.2536
2012-11-16,2.2528
2012-11-19,2.2936
2012-11-20,2.2988
2012-11-21,2.3016
2012-11-22,2.3056
2012-11-23,2.312
2012-11-26,2.3036
2012-11-27,2.3152
2012-11-28,2.3092
2012-11-29,2.3312
2012-11-30,2.3256
2012-12-03,2.3236
2012-12-04,2.3148
2012-12-05,2.3208
2012-12-06,2.3456
2012-12-07,2.354
2012-12-10,2.3644
2012-12-11,2.3692
2012-12-12,2.3624
2012-12-13,2.3488
2012-12-14,2.3356
2012-12-17,2.3412
2012-12-18,2.354
2012-12-19,2.3604
2012-12-20,2.3584
2012-12-21,2.35
2012-12-27,2.332
2012-12-28,2.3352
2013-01-02,2.4052
2013-01-03,2.43
2013-01-04,2.4328
2013-01-07,2.418
2013-01-08,2.4104
2013-01-09,2.4308
2013-01-10,2.412
2013-01-11,2.394
2013-01-14,2.3956
2013-01-15,2.396
2013-01-16,2.402
2013-01-17,2.408
2013-01-18,2.4128
2013-01-21,2.42
2013-01-22,2.418
2013-01-23,2.4232
2013-01-24,2.4264
2013-01-25,2.4108
2013-01-28,2.4108
2013-01-29,2.4196
2013-01-30,2.4048
2013-01-31,2.3928
2013-02-01,2.3924
2013-02-04,2.392
2013-02-05,2.3952
2013-02-06,2.4
2013-02-07,2.406
2013-02-08,2.4328
2013-02-11,2.426
2013-02-12,2.4264
2013-02-13,2.4316
2013-02-14,2.4452
2013-02-15,2.44
2013-02-18,2.4424
2013-02-19,2.4536
2013-02-20,2.4524
2013-02-21,2.4344
2013-02-22,2.4572
2013-02-25,2.4592
2013-02-26,2.4424
2013-02-27,2.462
2013-02-28,2.4808
2013-03-01,2.4908
2013-03-04,2.4888
2013-03-05,2.524
2013-03-06,2.5316
2013-03-07,2.5156
2013-03-08,2.5452
2013-03-11,2.546
2013-03-12,2.5388
2013-03-13,2.5508
2013-03-14,2.5612
2013-03-15,2.55
2013-03-18,2.5536
2013-03-19,2.548
2013-03-20,2.5548
2013-03-21,2.5524
2013-03-22,2.5416
2013-03-25,2.5564
2013-03-26,2.566
2013-03-27,2.5804
2013-03-28,2.5816
2013-04-02,2.5932
2013-04-03,2.5632
2013-04-04,2.5556
2013-04-05,2.5076
2013-04-08,2.5188
2013-04-09,2.5228
2013-04-10,2.5632
2013-04-11,2.5748
2013-04-12,2.5536
2013-04-15,2.5404
2013-04-16,2.52
2013-04-17,2.5024
2013-04-18,2.4964
2013-04-19,2.5096
2013-04-22,2.5148
2013-04-23,2.5596
2013-04-24,2.574
2013-04-25,2.592
2013-04-26,2.5744
2013-04-29,2.5804
2013-04-30,2.5756
2013-05-02,2.5956
2013-05-03,2.6172
2013-05-06,2.6196
2013-05-07,2.6288
